source_id,destination_id,source_name,destination_name,route_type,delay_ratio,sla_breach_rate,trip_count,median_actual_dist_km,median_actual_time_h,median_osrm_time_h,std_delay,is_sla_breach,composite_breach_score,excess_delay_pct
IND301001AAB,IND302014AAA,ALWAR_CENTRAL_I_1 (RAJASTHAN),JAIPUR_HUB (RAJASTHAN),FTL,3.4896774193548383,1.0,2,23.414534355159944,91.5,28.0,2.9278782720356524,1,3.833802496390842,249.0
IND301001AAB,IND321606AAA,ALWAR_CENTRAL_I_1 (RAJASTHAN),KHERLI_GODAMDPP_D (RAJASTHAN),FTL,1.75,1.0,3,22.30231137156022,63.0,36.0,0.843755810831995,1,2.4260151319598084,75.0
IND321001AAB,IND321401AAB,BHARATPUR_NRAYNDPP_D (RAJASTHAN),BAYANA_LALBAGH_D (RAJASTHAN),FTL,1.1821946169772257,0.0,2,22.854319587983554,26.0,22.0,0.01171191356002555,0,1.2987735338084694,18.2
IND321001AAB,IND321001AAA,BHARATPUR_NRAYNDPP_D (RAJASTHAN),BHARATPUR_DC (RAJASTHAN),FTL,1.3831521739130435,1.0,6,22.1926232539518,32.5,23.0,0.6802971627742093,1,2.691489852905311,38.3
IND110043AAC,IND000000ACB,DELHI_NANGLI_L (DELHI),GURGAON_BILASPUR_HB (HARYANA),CARTING,1.875,1.0,1,12.277515517244655,30.0,16.0,,1,1.2996509635498974,87.5
IND273014AAB,IND274001AAA,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),DEORIA_CCROAD_D (UTTAR PRADESH),FTL,2.5277777777777777,1.0,16,22.76906038302606,44.5,18.0,0.44676875049264875,1,7.161733730808768,152.8
IND273014AAB,IND277303AAC,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),SIKANDARPUR_CENTRAL_D_3 (UTTAR PRADESH),FTL,1.3636363636363635,0.9444444444444444,18,22.335451420610752,30.0,22.0,0.08082295281314282,1,4.015144062499691,36.4
IND273014AAB,IND209304AAA,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),KANPUR_CENTRAL_H_6 (UTTAR PRADESH),FTL,2.1176470588235294,1.0,3,22.113957895526912,36.0,17.0,0.46369927350311047,1,2.93568217648918,111.8
IND273014AAB,IND273155AAA,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),ANANDNAGAR_LOHIADPP_D (UTTAR PRADESH),CARTING,1.6666666666666667,1.0,5,10.679230087814442,10.0,7.0,0.34034140272403424,1,2.9862657820467584,66.7
IND273014AAB,IND274301AAB,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),KAPTANGANJ_SUBSHNGR_D (UTTAR PRADESH),FTL,2.0606060606060606,1.0,1,22.54542906941857,68.0,33.0,,1,1.4283032811538265,106.1
IND273014AAB,IND273304AAA,GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),NICHLAUL_WARDNO13_D (UTTAR PRADESH),CARTING,1.5,0.5,2,9.604219420503258,16.5,11.0,0.7071067811865476,1,1.6479184330021646,50.0
IND274001AAA,IND274509AAB,DEORIA_CCROAD_D (UTTAR PRADESH),SALEMPUR_BANJARIA_D (UTTAR PRADESH),FTL,1.84,1.0,13,22.285747998559582,46.0,25.0,0.9415082296944361,1,4.855865486492076,84.0
IND274001AAA,IND273014AAB,DEORIA_CCROAD_D (UTTAR PRADESH),GORAKHPUR_MATRIPRM_IP (UTTAR PRADESH),FTL,8.894736842105264,1.0,1,22.652868854608474,169.0,19.0,,1,6.165361763927935,789.5
IND274509AAB,IND274304AAA,SALEMPUR_BANJARIA_D (UTTAR PRADESH),KUSHINAGAR_KASYADPP_D (UTTAR PRADESH),FTL,2.1754658385093166,1.0,2,24.40358724124248,54.5,25.5,0.5511919319187062,1,2.3899935037640088,117.5
