facility_id,facility_name,betweenness_centrality,in_degree_centrality,out_degree_centrality,in_degree_raw,out_degree_raw,clustering_coefficient,pagerank,avg_incident_delay,avg_sla_breach_rate,total_trip_volume,centrality_rank,centrality_tier
IND495677AAA,KORBA_TILKNAGR_DC (CHHATTISGARH),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,1.962962962962963,1.0,7,1212,Tier 3 — Local Spoke
IND263002AAA,NAINITAL_SOOKHTAL_D (UTTARAKHAND),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00024907951457231394,1.0973214285714286,0.23076923076923078,26,1213,Tier 3 — Local Spoke
IND263601AAA,ALMORA_SUZKISRV_D (UTTARAKHAND),0.0,0.0006038647342995169,0.0018115942028985505,1,3,1.0,0.00041369336067757453,1.7820216485191387,0.975,24,1214,Tier 3 — Local Spoke
IND262501AAA,PITHORGARH_KUMUD_D (UTTARAKHAND),0.0,0.0012077294685990338,0.0006038647342995169,2,1,1.0,0.0004380914787417595,1.3929416904285403,0.7999999999999999,19,1215,Tier 3 — Local Spoke
IND577598AAC,HIRIYUR_TAHURDPP_D (KARNATAKA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.000289357586102126,1.723684210526316,1.0,21,1216,Tier 3 — Local Spoke
IND401104AAB,MUMBAI_MIRAROAD_M (MAHARASHTRA),0.0,0.0012077294685990338,0.0012077294685990338,2,2,1.0,0.0005250917851810246,2.253128815628816,1.0,39,1217,Tier 3 — Local Spoke
IND811105AAA,SHEIKHPURA_BGWTICHK_D (BIHAR),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0001624520781910663,1.9252136752136753,1.0,5,1218,Tier 3 — Local Spoke
IND000000ACN,HYDERABAD_MHDIPTNM_C (TELANGANA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00022190871965726834,2.6805555555555554,1.0,27,1219,Tier 3 — Local Spoke
IND401209AAB,MUMBAI_VASAI_CP (MAHARASHTRA),0.0,0.0,0.0018115942028985505,0,3,0.3333333333333333,0.00011994491700815865,2.395238095238095,1.0,32,1220,Tier 3 — Local Spoke
IND000000ADV,CHENNAI_MDHAVRAM_C (TAMIL NADU),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,1.6666666666666667,1.0,18,1221,Tier 3 — Local Spoke
