source_center,destination_center,source_name,destination_name,median_distance_km,median_osrm_time_h,total_trip_count,pct_afternoon,pct_evening,pct_morning,pct_night,dominant_time_of_day,carting_median_delay,ftl_median_delay,carting_sla_breach_rate,ftl_sla_breach_rate,carting_trip_count,ftl_trip_count,has_both_types,current_route_type,src_betweenness_centrality,src_pagerank,src_in_degree_raw,src_out_degree_raw,src_clustering_coefficient,src_avg_sla_breach_rate,dst_betweenness_centrality,dst_pagerank,dst_in_degree_raw,dst_out_degree_raw,dst_clustering_coefficient,dst_avg_sla_breach_rate,pred_delay_ratio_ftl,pred_delay_ratio_carting,pred_breach_prob_ftl,pred_breach_prob_carting,pred_time_hours_ftl,pred_time_hours_carting,total_cost_ftl_rs,total_cost_carting_rs,recommended_route_type,cost_savings_rs,time_diff_hours,switch_recommended,sla_breach_reduction_shipments
IND000000ACA,IND142401AAA,LUDHIANA_MILRGANJ_HB (PUNJAB),KHANNA_DC (PUNJAB),22.55565,0.26666666666666666,12,0.0,0.9166666666666666,0.0,0.08333333333333333,evening,,1.5,,1.0,0.0,12.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0,0.0006361455446896,2.0,1.0,1.0,1.0,2.1737607,2.839463,0.9998368,0.99955827,0.5796695073445638,0.7571901321411133,8495.24511489563,6725.132119865418,CARTING,1770.112995030212,0.1775206247965495,True,0.0033423900604248047
IND000000ACA,IND143001AAA,LUDHIANA_MILRGANJ_HB (PUNJAB),AMRITSAR_DPC (PUNJAB),26.6801,0.3333333333333333,1,1.0,0.0,0.0,0.0,afternoon,,1.6,,1.0,0.0,1.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0,0.0008654249047133,3.0,1.0,1.0,0.8288770053475936,1.958778,2.0914245,0.97128636,0.8798025,0.6529260079065958,0.6971414883931477,3072.6053782245635,1373.9062625217439,CARTING,1698.6991157028197,0.044215480486551884,True,0.09148383140563965
IND000000ACA,IND144001AAB,LUDHIANA_MILRGANJ_HB (PUNJAB),JALANDHAR_DPC (PUNJAB),26.0712,0.3,17,1.0,0.0,0.0,0.0,afternoon,,1.5,,1.0,0.0,17.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0038109605402065,0.0023027743833736,5.0,5.0,0.2666666666666666,0.908274078862314,1.8984547,2.5166948,0.99400526,0.97069067,0.5695363998413085,0.7550084352493286,11022.611134239578,9154.430674848556,CARTING,1868.180459391022,0.18547203540802004,True,0.39634811878204346
IND000000ACA,IND144514AAA,LUDHIANA_MILRGANJ_HB (PUNJAB),NAWANSHAHR_DC (PUNJAB),26.27015,0.4666666666666667,12,0.0,1.0,0.0,0.0,evening,,1.0339861751152073,,0.25,0.0,12.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0003970170419993,0.0003082645083869,1.0,2.0,1.0,0.75,1.1680939,1.1414821,0.4003262,0.27342454,0.5451104958852132,0.5326916535695394,4979.900454273987,2554.0547159385683,CARTING,2425.8457383354184,-0.012418842315673806,True,1.5228198766708374
IND000000ACA,IND147301AAA,LUDHIANA_MILRGANJ_HB (PUNJAB),MANDI_GOBINDGARH_DC (PUNJAB),22.9066,0.2833333333333333,3,0.0,1.0,0.0,0.0,evening,,1.5294117647058822,,1.0,0.0,3.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0,0.0005836437104612,2.0,2.0,1.0,0.75,1.8372353,1.8466123,0.98895967,0.94043416,0.5205500106016795,0.5232068280378978,3987.3847051002504,2155.981236772537,CARTING,1831.4034683277132,0.0026568174362182617,True,0.14557653665542603
IND000000ACA,IND152026AAA,LUDHIANA_MILRGANJ_HB (PUNJAB),MUKTSAR_DPC (PUNJAB),24.6599,0.2833333333333333,1,1.0,0.0,0.0,0.0,afternoon,,1.5294117647058822,,1.0,0.0,1.0,False,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0042120082120738,0.0018581435099296,6.0,7.0,0.1944444444444444,0.7307692307692307,1.8423291,1.9363815,0.9929933,0.9535055,0.5219932576020558,0.5486414134502411,3039.0144475963593,1309.747758026123,CARTING,1729.2666895702364,0.02664815584818525,True,0.03948777914047241
IND000000ACA,IND160002AAC,LUDHIANA_MILRGANJ_HB (PUNJAB),CHANDIGARH_MEHMDPUR_H (PUNJAB),23.2406,0.26666666666666666,71,0.16901408450704225,0.16901408450704225,0.30985915492957744,0.352112676056338,night,0.7142857142857143,1.75,0.0,1.0,1.0,70.0,True,FTL,0.0091837901542682,0.0028006435992362,13.0,9.0,0.1166666666666666,0.841765873015873,0.0412736498484561,0.0083634902090886,32.0,29.0,0.0343300110741971,0.7166145089434037,1.8214457,1.9009509,0.9921985,0.93763304,0.4857188542683919,0.5069202423095703,37734.34090350456,34810.03283363342,CARTING,2924.308069871142,0.021201388041178437,True,3.874149739742279
IND000000ACB,IND000000AEL,GURGAON_BILASPUR_HB (HARYANA),DELHI_PUNJABIB_L (DELHI),12.7647,0.2,23,0.08695652173913043,0.6956521739130435,0.0,0.21739130434782608,evening,2.0,,1.0,,23.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0003086600033252,1.0,1.0,0.0,0.9411764705882352,2.381811,2.2270608,0.99323094,0.9824453,0.4763621807098389,0.44541215896606445,13702.979197481538,11825.767945692063,CARTING,1877.2112517894748,-0.030950021743774425,False,0.0
IND000000ACB,IND110024AAA,GURGAON_BILASPUR_HB (HARYANA),DELHI_LAJPAT_IP (DELHI),17.151899999999998,0.25833333333333336,6,1.0,0.0,0.0,0.0,afternoon,1.7980392156862746,,1.0,,6.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0003990323569333,0.0020701183802942,3.0,1.0,0.3333333333333333,1.0,2.0453732,1.9744579,0.99969757,0.9993788,0.5283880770206452,0.5100682804981868,5376.434498097229,3569.655401176453,CARTING,1806.7790969207763,-0.01831979652245841,False,0.0
IND000000ACB,IND110030AAD,GURGAON_BILASPUR_HB (HARYANA),DELHI_KISHANGARH_DPC (DELHI),15.6166,0.2833333333333333,28,0.75,0.10714285714285714,0.0,0.14285714285714285,afternoon,2.03125,,1.0,,28.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0003489598688154,2.0,1.0,1.0,0.8523809523809524,2.0704556,2.020315,0.9854806,0.94503766,0.5866290728251139,0.5724225640296936,16140.293691783143,13786.693281761169,CARTING,2353.6004100219743,-0.014206508795420292,False,0.0
IND000000ACB,IND110037AAK,GURGAON_BILASPUR_HB (HARYANA),DELHI_KAPSHERA_L (DELHI),12.6776,0.21666666666666667,39,0.358974358974359,0.6410256410256411,0.0,0.0,evening,1.2857142857142858,,0.6410256410256411,,39.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002412617582119,1.0,1.0,0.0,0.7623732856290997,1.8224739,1.7621148,0.9601988,0.8765067,0.39486934145291647,0.38179153203964233,21002.784182927324,17618.656381107332,CARTING,3384.127801819992,-0.013077809413274133,False,0.0
IND000000ACB,IND110043AAA,GURGAON_BILASPUR_HB (HARYANA),DELHI_NANGLI_IP (DELHI),11.5421,0.2,17,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,afternoon,1.6363636363636365,,0.8235294117647058,,17.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0003990323569333,0.0005701697233749,3.0,2.0,0.0,0.8919786096256683,2.400335,2.2669952,0.984868,0.96856546,0.48006701469421387,0.45339903831481937,10625.304115143967,8748.227444168091,CARTING,1877.0766709758755,-0.026667976379394498,False,0.0
IND000000ACB,IND110043AAC,GURGAON_BILASPUR_HB (HARYANA),DELHI_NANGLI_L (DELHI),16.6004,0.31666666666666665,9,0.2222222222222222,0.7777777777777778,0.0,0.0,evening,1.7777777777777777,,1.0,,9.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002876916604011,1.0,1.0,0.0,1.0,1.9346975,1.9693671,0.99949145,0.99852765,0.6126542111237844,0.623632929722468,6862.920339268494,5059.378407291412,CARTING,1803.5419319770817,0.010978718598683601,False,0.0
IND000000ACB,IND110052AAA,GURGAON_BILASPUR_HB (HARYANA),DELHI_WAZIRPUR_L (DELHI),12.05115,0.2,2,0.0,1.0,0.0,0.0,evening,1.5833333333333335,,1.0,,2.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002693443603425,1.0,1.0,0.0,1.0,2.328629,2.1542118,0.9996393,0.99941134,0.46572580337524416,0.43084235191345216,3264.7645726898195,1519.9228445281983,CARTING,1744.8417281616212,-0.034883451461792,False,0.0
IND000000ACB,IND110064AAA,GURGAON_BILASPUR_HB (HARYANA),DELHI_MAYAPURI_PC (DELHI),13.07735,0.2833333333333333,48,0.3958333333333333,0.2916666666666667,0.0,0.3125,afternoon,1.3529411764705883,,0.6458333333333334,,48.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0007980647138666,0.0006906332221397,2.0,3.0,0.1666666666666666,0.8625,1.8014499,1.7831458,0.96311396,0.8515766,0.5104108035564422,0.5052246391773224,25402.436826495363,20968.61253121948,CARTING,4433.824295275881,-0.005186164379119784,False,0.0
IND000000ACB,IND110085AAB,GURGAON_BILASPUR_HB (HARYANA),DELHI_ROHINI_DPC (DELHI),11.8713,0.2,24,0.7083333333333334,0.125,0.0,0.16666666666666666,afternoon,1.6,,0.9583333333333334,,24.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0038069299103385,0.0008586496608762,4.0,5.0,0.0666666666666666,0.7866161616161617,1.994387,1.8732139,0.99216133,0.9796338,0.3988774061203003,0.3746427774429322,14167.104602731324,12274.318697631836,CARTING,1892.7859050994884,-0.024234628677368142,False,0.0
IND000000ACB,IND110092AAC,GURGAON_BILASPUR_HB (HARYANA),DELHI_PATPARGANJ_DPC (DELHI),16.890400000000003,0.31666666666666665,5,0.4,0.6,0.0,0.0,evening,1.631578947368421,,1.0,,5.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0026239400440766,0.000891594993902,3.0,2.0,0.3333333333333333,1.0,2.1087716,1.9465455,0.99864966,0.9964887,0.6677776614824931,0.6164060691992441,4868.212941931533,3060.1257259407043,CARTING,1808.087215990829,-0.051371592283248946,False,0.0
IND000000ACB,IND110095AAB,GURGAON_BILASPUR_HB (HARYANA),DELHI_JHILMIL_L (DELHI),12.51745,0.26666666666666666,36,0.1111111111111111,0.4166666666666667,0.0,0.4722222222222222,night,1.5578947368421052,,0.5277777777777778,,36.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002669440368761,1.0,1.0,0.0,0.7638888888888888,1.7651645,1.7140875,0.94030106,0.7851285,0.4707105318705241,0.4570899963378906,19200.802992178345,14657.487036239623,CARTING,4543.315955938722,-0.013620535532633482,False,0.0
IND000000ACB,IND121002AAB,GURGAON_BILASPUR_HB (HARYANA),FARIDABAD_MTHURARD_L (HARYANA),11.9395,0.2,57,0.2631578947368421,0.3684210526315789,0.0,0.3684210526315789,evening,1.5,,0.8947368421052632,,57.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002614812317459,1.0,1.0,0.0,0.8439201451905627,1.9763364,1.9566422,0.9816274,0.95463014,0.39526727199554446,0.3913284301757813,30239.050033658983,28245.748889961244,CARTING,1993.3011436977395,-0.0039388418197631725,False,0.0
IND000000ACB,IND121004AAB,GURGAON_BILASPUR_HB (HARYANA),FBD_BALABHGARH_DPC (HARYANA),11.6255,0.2,31,0.03225806451612903,0.4838709677419355,0.0,0.4838709677419355,evening,1.5625,,0.9354838709677419,,31.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0019951617846665,0.0024895266998715,9.0,7.0,0.0555555555555555,0.9828473005222036,1.9125341,1.7904931,0.9875953,0.9751365,0.3825068235397339,0.3580986261367798,17563.488456092833,15630.8710364151,CARTING,1932.6174196777338,-0.024408197402954135,False,0.0
